PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
4.6	0.4	0		0	0	20		0	-1.44	0		8	-92	0		4.29	-69.84	0		3.71	-22.16	0
4.6	0.4	0		0	0	20		0.06	-1.31	-0.06		8	-92	0		0.29	-63.9	0		7.71	-28.1	0
4.6	0.4	0		0	0	20		0	-1.69	0		8	-92	0		5.03	-81.99	0		2.97	-10.01	0
4.6	0.4	0		0	0	40		-0.06	-3.19	-0.06		16	-184	0		11.77	-156.01	0		4.23	-27.99	0
4.6	0.4	0		0	0	40		-0.06	-3.06	-0.06		16	-184	0		11.4	-149.94	0		4.6	-34.06	0
4.6	0.4	0		0	0	40		-0.19	-2.69	-0.19		16	-184	0		14.82	-134	0		1.18	-50	0
4.6	0.4	0		0	0	60		-0.12	-5	-0.19		24	-276	0		18.77	-245.85	0		5.23	-30.15	0
4.6	0.4	0		0	0	60		-0.06	-4.69	-0.12		24	-276	0		15.57	-229.53	0		8.43	-46.47	0
4.6	0.4	0		0	0	60		-0.12	-5.12	-0.19		24	-276	0		19.14	-251.93	0		4.86	-24.07	0
4.6	0.4	0		0	0	80		-0.25	-6.56	-0.25		32	-368	0		28.64	-323.42	0		3.36	-44.58	0
4.6	0.4	0		0	0	80		-0.19	-6.94	-0.25		32	-368	0		26.82	-341.13	0		5.18	-26.87	0
4.6	0.4	0		0	0	80		-0.25	-6.75	-0.31		32	-368	0		28.53	-333.16	0		3.47	-34.84	0
4.6	0.4	0		0	0	100		-0.25	-8.56	-0.31		40	-460	0		33.93	-421.23	0		6.07	-38.77	0
4.6	0.4	0		0	0	100		-0.12	-8.88	-0.31		40	-460	0		28.98	-435.4	0		11.02	-24.6	0
4.6	0.4	0		0	0	100		-0.19	-8	-0.25		40	-460	0		29.99	-392.76	0		10.01	-67.24	0
4.6	0.4	0		0	0	120		-0.38	-10.31	-0.44		48	-552	0		43.69	-508.54	0		4.31	-43.46	0
4.6	0.4	0		0	0	120		-0.38	-10.81	-0.44		48	-552	0		45.18	-532.83	0		2.82	-19.17	0
4.6	0.4	0		0	0	120		-0.31	-10.38	-0.44		48	-552	0		40.93	-511.07	0		7.07	-40.93	0
